rank	no	word	ph	pos	def	freq	years	yearList	topForms
35	1999	my	maɪ	pron.	我的	502	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	my:502
36	3150	this	ðɪs	adj. pron.	这，这个	497	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	this:497
37	1555	his	hɪz	pron.	他的	483	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	his:483
38	3475	will	wɪl	n.	意志, 遗嘱；will (would	457	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	will:457
39	3130	them	ð(ə)m	pron.	他/她/它们（宾格	453	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	them:452 themes:1
40	3325	up	ʌp	adv. adj. n. v. prep.	向上；在上方；起来；在…以上 a. 上面的，向上的，上行的 n. 上升；上坡；上行；繁荣 v. 举起；拿起；提高 prep. 向(高处)；向(在)……上(面)游	448	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	up:448
41	124	all	ɔːl	adv. adj. pron.	全部地 a. 全（部）;所有的;总;整 pron.全部;全体人员	421	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	all:421
42	2140	out	aʊt	adv.	出外;在外,向外;熄	421	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	out:421
43	1609	if	ɪf	conj.	如果,假使,是否,是不是	418	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	if:418
44	3465	who	huː	pron.	谁	406	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	who:406
45	3459	which	wɪtʃ; (US) hwɪtʃ	pron. adj.	那(哪)一个；那(哪)一些 a.这(哪)个；这(哪)些；无论哪个(些	404	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	which:404
46	3136	there	ðeə(r)	int. n. adv.	那！你瞧（表示引起注意） n. 那里，那儿 ad. 在那里，往那里；（作引导词）表”存在"	401	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	there:401
47	3534	year	jɪə(r)	n.	年	401	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	years:214 year:187
48	2132	other	ˈʌðə(r)	pron. adj.	别人，别的东西 a. 别的,另外的	396	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	other:286 others:110
49	1585	how	haʊ	adv.	怎样,如何；多少；多么	391	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	how:391
50	3504	work	wɜːk	n. vi.	工作,劳动,事情 vi. 工作;(机器、器官等)运转,活动	388	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	work:256 working:92 worked:40
51	2851	so	səʊ	adv. conj.	如此，这么；非常；同样 conj. 因此，所以	381	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	so:381
52	2869	some	sʌm	adj. pron.	一些，若干；有些；某一 pron. 若干，一些	374	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	some:374
53	3523	would	wəd	v.	（will的过去时）将会，打算，想要，过去常常	369	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	would:369
54	2030	new	njuː; (US) nuː	adj.	新的；新鲜的	365	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	new:363 newer:2
55	891	day	deɪ	n.	（一）天，（一）日；白天	351	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	day:248 days:103
56	3122	than	ðen	conj.	比	350	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	than:350
57	2137	our	ˈaʊə(r)	pron.	我们的	341	14	2008/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	our:341
58	1533	help	help	n. vt.	帮助，帮忙	326	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	help:232 helped:37 helping:26 helps:24
59	1807	like	laɪk	prep. vt.	像，跟…一样 vt. 喜欢，喜爱	314	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	like:282 liked:26 likes:6
60	1727	just	dʒʌst	adv. adj.	刚才；恰好；不过；仅 a. 公正的	279	14	2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	just:279
61	1886	me	miː	pron.	我（宾格	276	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	me:276
62	3405	want	wɔnt; (US) wɔːnt	vt.	想,想要,需要,必要	271	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	want:176 wanted:57 wants:33 wanting:5
63	3420	way	weɪ	n.	路，路线；方式，手段	270	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	way:210 ways:60
64	1676	into	ˈɪntʊ	prep.	到…里;向内；变成	267	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	into:267
65	3334	use	juːz	n. vt.	利用,使用,应用	264	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	use:183 using:64 uses:17
66	3511	world	wɜːld	n.	世界	264	14	2008/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	world:256 worlds:8
67	1831	look	lʊk	n. v.	看，瞧 v. 看，观看 v. link 看起来	252	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	looking:100 look:85 looked:47 looks:20
68	1274	first	fɜːst	num. adj. adv. n.	第一 a.& ad. 第一；首次；最初 n. 开始；开端	247	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	first:247
69	1884	May	meɪ	n.	5月	242	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	may:242
70	2769	show	ʃəʊ	n.	展示,展览（会）;演出	241	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	show:117 shows:69 showed:33 showing:22
71	1214	family	ˈfæmɪlɪ	n.	家庭；家族；子女	235	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	family:203 families:32
72	2020	need	niːd	n. aux. v.	需要,需求aux.& v.需要,必须	232	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	need:165 needs:38 needed:29
73	2041	no	nəʊ	adv. adj.	不,不是 a.没有,无,不；No.(缩) = number	231	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	no:231
74	2108	only	ˈəʊnlɪ	adj. adv.	惟一的，仅有的 ad. 仅仅，只，才	231	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	only:231
75	3133	then	ðen	adv.	当时,那时,然后,那么	228	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	then:228
76	3143	thing	θɪŋ	n.	东西；(复)物品，用品；事情，事件；think(thought, thought	228	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	things:164 thing:64
77	439	book	bʊk	n. v.	书；本子 v. 预定，定（房间、车票等	225	14	2008/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	book:133 books:86 booked:4 booking:2
78	2987	student	ˈstjuːdənt	n.	学生	223	14	2008/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	students:160 student:63
79	1693	its	ɪts	pron.	它的	219	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	its:219
80	1562	home	həʊm	n. adv.	家 ad. 到家；回家	216	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	home:192 homes:22 homed:2
81	91	after	ˈɑːftə(r)	adv. prep. conj.	在后；后来prep. 在…之后；在 后面 conj. 在…以后	214	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	after:214
82	666	city	ˈsɪtɪ	n.	市，城市，都市	209	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	city:139 cities:70
83	3469	why	waɪ; (US) hwaɪ	adv. int.	/ int. 为什么, 你难道不知道（表示反驳、不耐烦等	203	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	why:203
84	374	before	bɪˈfɔː(r)	prep. adv. conj.	在…以前；在…前面 ad. 以前 conj. 在…之前	200	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	before:200
85	2101	old	əʊld	adj.	老的，旧的；Olympic(s	197	14	2008/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	old:117 older:62 oldest:18
86	611	change	tʃeɪndʒ	n. v.	零钱；找头v. 改变，变化；更换；兑换	195	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	change:93 changed:43 changing:38 changes:21
87	2067	now	naʊ	adv.	现在	195	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	now:195
88	3456	where	weə(r); (US) hweər	adv.	在哪里；往哪里	195	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	where:195
89	1262	find	faɪnd	vt.	(found, found) vt. 找到，发现，感到	194	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	find:174 finds:15 finding:5
90	137	also	ˈɔːlsəʊ	adv.	也	193	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	also:193
91	1765	last	lɑːst; (US) læst	adj. adv. n. v.	最近刚过去;最后的ad.最近刚过去;最后地 n.最后v.持续	193	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	last:175 lasts:8 lasting:5 lasted:3
92	2152	over	ˈəʊvə(r)	prep. adv.	在…上方,越过,遍及 ad. 翻倒,遍布,越过,结束	192	14	2008/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	over:192
93	3139	these	ðiːz	adj. pron.	这些	191	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	these:191
94	2184	paragraph	ˈpærəɡrɑːf; (US) ˈpærəgræf	n.	（文章的）段落	184	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	paragraph:180 paragraphs:4
95	2938	start	stɑːt	v.	开始，着手；出发	183	13	2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	start:89 started:53 starting:27 starts:14
96	1830	long	lɔŋ; (US) lɔːŋ	adj. adv.	长的，远 ad. 长久	182	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	long:135 longer:40 longest:3 longing:2
97	2766	should	ʃʊd	v. aux.	mod. 应当，应该，会 v. aux.会,应该（shall的过去时态	182	13	2008/2010/2011/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	should:182
98	3503	word	wɜːd	n.	词，单词；话	182	14	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021	words:109 word:73
99	3273	two	tuː	num.	二	181	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	two:181
100	3072	talk	tɔːk	n. v.	谈话,讲话,演讲,交谈	180	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	talk:120 talking:42 talked:11 talks:7
101	283	author	ˈɔːθə(r)	n.	作者，作家	179	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	author:172 authors:7
102	365	because	bɪˈkɔz; (US) bɪˈkɔːz	conj.	因为；become (became, be come	178	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	because:178
103	1310	food	fuːd	n.	食物，食品	178	13	2008/2010/2011/2012/2014/2015/2016/2017/2018/2019/2020/2021/2022	food:171 foods:7
104	3259	try	truːθ	v.	试，试图，努力	177	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	try:88 trying:49 tried:34 tries:6
105	3120	text	tekst	n.	文本，课文	176	14	2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	text:173 texts:3
106	3359	very	ˈverɪ	adv.	很，非常	175	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	very:175
107	1552	him	hɪm	pron.	他（宾格	173	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	him:173
108	304	back	bæk	adv. adj. n.	回（原处）；向后 a. 后面的 n. 背后，后部；背	172	14	2008/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	back:166 backed:4 backing:2
109	2273	place	pleɪs	n. v.	地方，处所 v. 放置，安置，安排	171	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	place:114 places:45 placed:11 placing:1
110	2831	small	smɔːl	adj.	小的，少的	168	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	small:148 smaller:18 smallest:2
111	1145	even	ˈiːv(ə)n	adv.	甚至，连（…都）；更	167	14	2008/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	even:167
112	1760	language	ˈlæŋɡwɪdʒ	n.	语言	167	13	2008/2009/2010/2011/2012/2014/2015/2016/2017/2018/2019/2020/2021	language:114 languages:53
113	2282	play	pleɪ	v. n.	玩；打（球）；游戏；播放 n. 玩耍，戏剧	167	13	2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	play:89 playing:39 played:21 plays:18
114	1359	friend	frend	n.	朋友	166	13	2009/2010/2011/2012/2013/2014/2015/2016/2017/2019/2020/2021/2022	friends:112 friend:54
115	1025	down	daʊn	prep. adv.	沿着，沿…而下 ad. 向下	165	14	2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	down:161 downer:4
116	1059	each	iːtʃ	adj. pron.	每人.每个.每件	165	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	each:165
117	3161	through	θruː	prep. adv.	穿（通）过;从始至终 ad.穿(通)过;自始至终,全部	165	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	through:165
118	2666	school	skuːl	n.	学校	164	14	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2022	school:143 schools:20 schooling:1
119	247	ask	ɑːsk	v.	问；请求，要求；邀请	160	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	asked:78 ask:67 asking:10 asks:5
120	2989	study	ˈstʌdɪ	v. n.	学习；研究 n. 书房	159	14	2008/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	study:95 studies:36 studying:17 studied:11
121	1336	found	faʊnd	vt.	成立，建立	158	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	found:145 founded:10 founder:3
122	3461	while	waɪl; (US) hwaɪl	conj. n.	在…的时候,和…同时 n. 一会儿，一段时间	154	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	while:154
123	537	call	kɔːl	n. v.	喊，叫；电话，通话 v. 称呼；呼唤；喊，叫	153	14	2008/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	called:67 call:58 calling:13 calls:13
124	2072	number	ˈnʌmbə(r)	n.	数,数字,号码,数量	152	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	number:118 numbers:33 numbered:1
125	2188	parent	ˈpeərənt	n.	父(母)，双亲	149	14	2008/2009/2010/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	parents:123 parent:26
126	2956	still	stɪl	adj. adv.	不动的,平静的ad.仍然,还	147	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	still:147
127	3152	those	ðəʊz	adj. pron.	那些	147	13	2009/2010/2011/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	those:147
128	2159	own	əʊn	adj. v.	自己的 v. 拥有,所有	146	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	own:134 owned:9 owns:3
129	1985	move	muːv	v.	移动，搬动，搬家	143	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	move:59 moved:42 moving:35 moves:7
130	557	car	kɑː(r)	n.	汽车，小卧车	142	13	2008/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2022	car:77 cars:46 caring:12 cares:5
131	1735	kid	kɪd	n.	小孩	142	12	2008/2010/2012/2014/2015/2016/2017/2018/2019/2020/2021/2022	kids:128 kid:14
132	3264	turn	tɜːn	v. n.	旋转，翻转，转变，转弯 n. 轮流，（轮流的）顺序	142	14	2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	turn:62 turned:51 turning:18 turns:9
133	1463	group	ɡruːp	n.	组，群；grow (grew, grown	141	13	2009/2010/2011/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	group:78 groups:59 grouped:2 grouping:2
134	2238	person	ˈpɜːs(ə)n	n.	人	141	14	2008/2009/2010/2011/2012/2013/2015/2016/2017/2018/2019/2020/2021/2022	person:127 persons:14
135	3542	young	jʌŋ	adj.	年轻的	140	14	2008/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	young:124 younger:14 youngest:2
136	230	around	əˈraʊnd	adv. prep.	在周围；在附近prep. 在……周围；大约	139	14	2008/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	around:139
137	3416	water	ˈwɔːtə(r)	n. v.	水v. 浇水	138	14	2008/2009/2010/2011/2012/2014/2015/2016/2017/2018/2019/2020/2021/2022	water:133 waters:5
138	3443	well	wel	adv. adj. int. n.	(better, best) ad. 好,令人满意地,完全地 a.好的,,健康的int. 表示惊讶同意或犹豫等,亦用于接话语;好吧,那么,哎呀 n. 井	137	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	well:135 wells:2
139	959	different	ˈdɪfrənt	adj.	不同的，有差异的	136	14	2008/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	different:136
140	1150	every	ˈevrɪ	adj.	每一，每个的	135	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	every:135
141	3210	tour	tʊə(r)	n.	参观, 观光, 旅行	135	7	2010/2015/2016/2017/2018/2020/2022	tour:115 tours:12 touring:4 toured:4
142	1452	great	ɡreɪt	adj. adv.	伟大的,重要的,好极了 ad. （口语）好极了，很好	133	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	great:113 greater:11 greatest:9
143	1581	hour	ˈaʊə(r)	n.	小时	132	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	hours:83 hour:49
144	2872	something	ˈsʌmθɪŋ	pron.	某事；某物	132	14	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2020/2021/2022	something:132
145	175	another	əˈnʌðə(r)	adj. pron.	再一；另一；别的；不同的 pron. 另一个	131	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	another:131
146	1246	few	fjuː	pron.	不多；少数 不多的；少数的	130	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	few:93 fewer:37
147	1582	house	haʊs	n.	房子；住宅	130	14	2008/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	house:99 houses:24 housing:7
148	1547	high	haɪ	adj. adv.	高的;高度的 ad. 高地	129	13	2008/2010/2011/2012/2014/2015/2016/2017/2018/2019/2020/2021/2022	high:85 higher:28 highest:16
149	3198	too	təˈnaɪt	adv.	也,还,又,太,过分,很,非常	128	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	too:128
150	3568	buy	baɪ	vt.	买	125	13	2008/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021	buy:57 buying:32 bought:29 buys:7
151	1178	experience	ɪkˈspɪərɪəns	n.	经验；经历	124	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	experience:88 experiences:17 experienced:13 experiencing:6
