rank	no	word	ph	pos	def	freq	years	yearList	topForms
39		she	ʃiː	pron.	她；sheep (复sheep	532	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	she:530 shed:2
40		not	nɔt	adv.	不，没	524	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	not:507 notes:12 noted:4 noting:1
41		my	maɪ	pron.	我的	502	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	my:502
42		this	ðɪs	adj. pron.	这，这个	497	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	this:497
43		his	hɪz	pron.	他的	483	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	his:483
44		get		v.	成为; 得到; 具有; 到达	465	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	get:263 got:94 getting:65 gets:37
45		will	wɪl	n.	意志, 遗嘱；will (would	457	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	will:457
46		them	ð(ə)m	pron.	他/她/它们（宾格	453	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	them:452 themes:1
47		go		v.	离去, 走, 进行, 变成, 求助于	449	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	go:228 going:87 went:71 goes:32
48		up	ʌp	adv. adj. n. v. prep.	向上；在上方；起来；在…以上 a. 上面的，向上的，上行的 n. 上升；上坡；上行；繁荣 v. 举起；拿起；提高 prep. 向(高处)；向(在)……上(面)游	448	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	up:448
49		all	ɔːl	adv. adj. pron.	全部地 a. 全（部）;所有的;总;整 pron.全部;全体人员	421	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	all:421
50		out	aʊt	adv.	出外;在外,向外;熄	421	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	out:421
51		if	ɪf	conj.	如果,假使,是否,是不是	418	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	if:418
52		take		v.	拿, 拿走, 取, 抓, 占领; 服用; 乘坐; 花费	413	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	take:212 taking:66 took:59 taken:41
53		who	huː	pron.	谁	406	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	who:406
54		which	wɪtʃ; (US) hwɪtʃ	pron. adj.	那(哪)一个；那(哪)一些 a.这(哪)个；这(哪)些；无论哪个(些	404	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	which:404
55		there	ðeə(r)	int. n. adv.	那！你瞧（表示引起注意） n. 那里，那儿 ad. 在那里，往那里；（作引导词）表”存在"	401	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	there:401
56		year	jɪə(r)	n.	年	401	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	years:214 year:187
57		other	ˈʌðə(r)	pron. adj.	别人，别的东西 a. 别的,另外的	396	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	other:286 others:110
58		how	haʊ	adv.	怎样,如何；多少；多么	391	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	how:391
59		work	wɜːk	n. vi.	工作,劳动,事情 vi. 工作;(机器、器官等)运转,活动	388	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	work:256 working:92 worked:40
60		so	səʊ	adv. conj.	如此，这么；非常；同样 conj. 因此，所以	381	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	so:381
61		some	sʌm	adj. pron.	一些，若干；有些；某一 pron. 若干，一些	374	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	some:374
62		would	wəd	v.	（will的过去时）将会，打算，想要，过去常常	369	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	would:369
63		new	njuː; (US) nuː	adj.	新的；新鲜的	365	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	new:363 newer:2
64		day	deɪ	n.	（一）天，（一）日；白天	351	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	day:248 days:103
65		than	ðen	conj.	比	350	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	than:350
66		child	tʃaɪld	n.	孩子，儿童	344	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	children:267 child:77
67		our	ˈaʊə(r)	pron.	我们的	341	14	2008/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	our:341
68		help	help	n. vt.	帮助，帮忙	326	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	help:232 helped:37 helping:26 helps:24
69		know			知道, 了解; 认识; 懂得	316	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	know:199 known:43 knew:42 knows:18
70		like	laɪk	prep. vt.	像，跟…一样 vt. 喜欢，喜爱	314	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	like:282 liked:26 likes:6
71		say		v.	说, 讲	305	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	says:171 say:134
72		most	məʊst	adj. adv. pron.	最多的；大部分的；最	284	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	most:284
73		see		v.	看见, 看到; 领会; 拜会	281	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	see:161 saw:47 seen:35 seeing:23
74		come		v.	来, 来到	280	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	come:125 came:79 comes:42 coming:34
75		just	dʒʌst	adv. adj.	刚才；恰好；不过；仅 a. 公正的	279	14	2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	just:279
76		many		pron.	许多人（或物） 许多的	276	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	many:276
77		me	miː	pron.	我（宾格	276	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	me:276
78		want	wɔnt; (US) wɔːnt	vt.	想,想要,需要,必要	271	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	want:176 wanted:57 wants:33 wanting:5
79		way	weɪ	n.	路，路线；方式，手段	270	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	way:210 ways:60
80		into	ˈɪntʊ	prep.	到…里;向内；变成	267	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	into:267
81		use	juːz	n. vt.	利用,使用,应用	264	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	use:183 using:64 uses:17
82		world	wɜːld	n.	世界	264	14	2008/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	world:256 worlds:8
83		learn	lɜːn	vt.	学，学习，学会	252	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	learn:161 learning:87 learns:4
84		look	lʊk	n. v.	看，瞧 v. 看，观看 v. link 看起来	252	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	looking:100 look:85 looked:47 looks:20
85		first	fɜːst	num. adj. adv. n.	第一 a.& ad. 第一；首次；最初 n. 开始；开端	247	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	first:247
86		give		v.	给; 递给; 付出	246	14	2008/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	give:85 gave:54 giving:39 given:35
87		may	meɪ	n.	5月	242	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	may:242
88		show	ʃəʊ	n.	展示,展览（会）;演出	241	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	show:117 shows:69 showed:33 showing:22
89		life		n.	生命; 生活	236	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	life:180 lives:56
90		little		adj.	小的, 少的	236	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	little:127 less:109
91		family	ˈfæmɪlɪ	n.	家庭；家族；子女	235	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	family:203 families:32
92		need	niːd	n. aux. v.	需要,需求aux.& v.需要,必须	232	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	need:165 needs:38 needed:29
93		could		modal v.	（can的过去式）可以, 可能；行	231	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	could:231
94		no	nəʊ	adv. adj.	不,不是 a.没有,无,不；No.(缩) = number	231	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	no:231
95		only	ˈəʊnlɪ	adj. adv.	惟一的，仅有的 ad. 仅仅，只，才	231	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	only:231
96		us	ʌs; əs	pron.	我们（宾格）	229	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	us:229
97		then	ðen	adv.	当时,那时,然后,那么	228	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	then:228
98		thing	θɪŋ	n.	东西；(复)物品，用品；事情，事件；think(thought, thought	228	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	things:164 thing:64
99		book	bʊk	n. v.	书；本子 v. 预定，定（房间、车票等	225	14	2008/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	book:133 books:86 booked:4 booking:2
100		student	ˈstjuːdənt	n.	学生	223	14	2008/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	students:160 student:63
101		its	ɪts	pron.	它的	219	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	its:219
102		home	həʊm	n. adv.	家 ad. 到家；回家	216	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	home:192 homes:22 homed:2
103		after	ˈɑːftə(r)	adv. prep. conj.	在后；后来prep. 在…之后；在 后面 conj. 在…以后	214	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	after:214
104		city	ˈsɪtɪ	n.	市，城市，都市	209	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	city:139 cities:70
105		why	waɪ; (US) hwaɪ	adv. int.	/ int. 为什么, 你难道不知道（表示反驳、不耐烦等	203	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	why:203
106		before	bɪˈfɔː(r)	prep. adv. conj.	在…以前；在…前面 ad. 以前 conj. 在…之前	200	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	before:200
107		keep		v.	保持; 继续不断 培育, 饲养	199	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	keep:133 kept:27 keeping:26 keeps:13
108		old	əʊld	adj.	老的，旧的；Olympic(s	197	14	2008/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	old:117 older:62 oldest:18
109		change	tʃeɪndʒ	n. v.	零钱；找头v. 改变，变化；更换；兑换	195	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	change:93 changed:43 changing:38 changes:21
110		now	naʊ	adv.	现在	195	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	now:195
111		where	weə(r); (US) hweər	adv.	在哪里；往哪里	195	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	where:195
112		find	faɪnd	vt.	(found, found) vt. 找到，发现，感到	194	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	find:174 finds:15 finding:5
113		also	ˈɔːlsəʊ	adv.	也	193	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	also:193
114		last	lɑːst; (US) læst	adj. adv. n. v.	最近刚过去;最后的ad.最近刚过去;最后地 n.最后v.持续	193	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	last:175 lasts:8 lasting:5 lasted:3
115		over	ˈəʊvə(r)	prep. adv.	在…上方,越过,遍及 ad. 翻倒,遍布,越过,结束	192	14	2008/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	over:192
116		these	ðiːz	adj. pron.	这些	191	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	these:191
117		paragraph	ˈpærəɡrɑːf; (US) ˈpærəgræf	n.	（文章的）段落	184	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	paragraph:180 paragraphs:4
118		start	stɑːt	v.	开始，着手；出发	183	13	2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	start:89 started:53 starting:27 starts:14
119		long	lɔŋ; (US) lɔːŋ	adj. adv.	长的，远 ad. 长久	182	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	long:135 longer:40 longest:3 longing:2
120		should	ʃʊd	v. aux.	mod. 应当，应该，会 v. aux.会,应该（shall的过去时态	182	13	2008/2010/2011/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	should:182
121		word	wɜːd	n.	词，单词；话	182	14	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021	words:109 word:73
122		two	tuː	num.	二	181	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	two:181
123		put	pʊt	vt.	放，摆	180	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	put:161 putting:15 puts:4
124		talk	tɔːk	n. v.	谈话,讲话,演讲,交谈	180	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	talk:120 talking:42 talked:11 talks:7
125		author	ˈɔːθə(r)	n.	作者，作家	179	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	author:172 authors:7
126		because	bɪˈkɔz; (US) bɪˈkɔːz	conj.	因为；become (became, be come	178	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	because:178
127		food	fuːd	n.	食物，食品	178	13	2008/2010/2011/2012/2014/2015/2016/2017/2018/2019/2020/2021/2022	food:171 foods:7
128		try	truːθ	v.	试，试图，努力	177	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	try:88 trying:49 tried:34 tries:6
129		text	tekst	n.	文本，课文	176	14	2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	text:173 texts:3
130		very	ˈverɪ	adv.	很，非常	175	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	very:175
131		tell		v.	告诉; 讲述; 吩咐; 断定, 知道	174	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	tell:80 told:46 telling:37 tells:10
132		become	bɪˈkʌm	v.	变得；成为	173	14	2008/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	become:76 became:47 becoming:39 becomes:11
133		him	hɪm	pron.	他（宾格	173	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	him:173
134		back	bæk	adv. adj. n.	回（原处）；向后 a. 后面的 n. 背后，后部；背	172	14	2008/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	back:166 backed:4 backing:2
135		place	pleɪs	n. v.	地方，处所 v. 放置，安置，安排	171	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	place:114 places:45 placed:11 placing:1
136		feel		v.	& link 感觉, 觉得; 摸, 触	170	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	feel:122 felt:33 feels:15
137		small	smɔːl	adj.	小的，少的	168	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	small:148 smaller:18 smallest:2
138		even	ˈiːv(ə)n	adv.	甚至，连（…都）；更	167	14	2008/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	even:167
139		language	ˈlæŋɡwɪdʒ	n.	语言	167	13	2008/2009/2010/2011/2012/2014/2015/2016/2017/2018/2019/2020/2021	language:114 languages:53
140		play	pleɪ	v. n.	玩；打（球）；游戏；播放 n. 玩耍，戏剧	167	13	2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	play:89 playing:39 played:21 plays:18
141		friend	frend	n.	朋友	166	13	2009/2010/2011/2012/2013/2014/2015/2016/2017/2019/2020/2021/2022	friends:112 friend:54
142		down	daʊn	prep. adv.	沿着，沿…而下 ad. 向下	165	14	2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	down:161 downer:4
143		each	iːtʃ	adj. pron.	每人.每个.每件	165	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	each:165
144		through	θruː	prep. adv.	穿（通）过;从始至终 ad.穿(通)过;自始至终,全部	165	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	through:165
145		school	skuːl	n.	学校	164	14	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2022	school:143 schools:20 schooling:1
146		much	mʌtʃ	adj. adv. pron.	许多的；大量的；非常	163	14	2008/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	much:163
147		ask	ɑːsk	v.	问；请求，要求；邀请	160	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	asked:78 ask:67 asking:10 asks:5
148		study	ˈstʌdɪ	v. n.	学习；研究 n. 书房	159	14	2008/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	study:95 studies:36 studying:17 studied:11
149		found	faʊnd	vt.	成立，建立	158	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	found:145 founded:10 founder:3
150		while	waɪl; (US) hwaɪl	conj. n.	在…的时候,和…同时 n. 一会儿，一段时间	154	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	while:154
151		call	kɔːl	n. v.	喊，叫；电话，通话 v. 称呼；呼唤；喊，叫	153	14	2008/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	called:67 call:58 calling:13 calls:13
152		number	ˈnʌmbə(r)	n.	数,数字,号码,数量	152	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	number:118 numbers:33 numbered:1
153		set		n.	装备, 设备 设置（布景, 背景）	152	13	2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	set:116 setting:30 sets:6
154		parent	ˈpeərənt	n.	父(母)，双亲	149	14	2008/2009/2010/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	parents:123 parent:26
155		still	stɪl	adj. adv.	不动的,平静的ad.仍然,还	147	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	still:147
156		those	ðəʊz	adj. pron.	那些	147	13	2009/2010/2011/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	those:147
157		own	əʊn	adj. v.	自己的 v. 拥有,所有	146	15	2008/2009/2010/2011/2012/2013/2014/2015/2016/2017/2018/2019/2020/2021/2022	own:134 owned:9 owns:3
